fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.927,0.891,0.067,0.03,0.883,0.053,0.586,0.304,0.18,0.104,0.18,0.104,338.188,27.038,0,8
LQ,1,fc.LQ_rm.1,0.96,0.955,0.047,0.025,0.923,0.036,0.577,0.142,0.18,0.104,0.14,0.129,354.836,43.686,0,13
H,1,fc.H_rm.1,0.971,0.954,0.036,0.029,0.941,0.032,0.413,0.398,0.18,0.104,0.14,0.129,NA,NA,NA,21
LQH,1,fc.LQH_rm.1,0.972,0.894,0.032,0.026,0.946,0.027,0.393,0.381,0.18,0.104,0.09,0.124,NA,NA,NA,22
LQHP,1,fc.LQHP_rm.1,0.972,0.941,0.038,0.027,0.94,0.029,0.4,0.271,0.18,0.104,0.14,0.129,NA,NA,NA,21
LQHPT,1,fc.LQHPT_rm.1,0.972,0.941,0.038,0.027,0.94,0.029,0.4,0.271,0.18,0.104,0.14,0.129,NA,NA,NA,21
L,2,fc.L_rm.2,0.92,0.873,0.055,0.046,0.889,0.06,0.673,0.231,0.09,0.124,0.09,0.124,343.482,32.332,0,8
LQ,2,fc.LQ_rm.2,0.949,0.792,0.062,0.034,0.895,0.055,0.74,0.173,0.18,0.104,0.18,0.104,345.617,34.468,0,11
H,2,fc.H_rm.2,0.965,0.914,0.032,0.025,0.939,0.03,0.591,0.291,0.18,0.104,0.09,0.124,339.55,28.4,0,12
LQH,2,fc.LQH_rm.2,0.967,0.934,0.035,0.027,0.937,0.031,0.469,0.491,0.18,0.104,0.14,0.129,349.828,38.678,0,13
LQHP,2,fc.LQHP_rm.2,0.967,0.924,0.035,0.026,0.936,0.031,0.629,0.183,0.18,0.104,0.14,0.129,388.678,77.528,0,15
LQHPT,2,fc.LQHPT_rm.2,0.967,0.924,0.035,0.026,0.936,0.031,0.629,0.183,0.18,0.104,0.14,0.129,388.678,77.528,0,15
L,3,fc.L_rm.3,0.904,0.832,0.06,0.039,0.891,0.065,0.593,0.294,0.09,0.124,0.09,0.124,339.2,28.05,0,6
LQ,3,fc.LQ_rm.3,0.925,0.825,0.053,0.046,0.887,0.059,0.709,0.189,0.09,0.124,0.09,0.124,352.618,41.469,0,10
H,3,fc.H_rm.3,0.96,0.864,0.037,0.021,0.931,0.033,0.552,0.43,0.14,0.129,0.09,0.124,311.15,0,0.999,7
LQH,3,fc.LQH_rm.3,0.96,0.928,0.035,0.024,0.934,0.032,0.656,0.271,0.14,0.129,0.14,0.129,326.645,15.495,0,10
LQHP,3,fc.LQHP_rm.3,0.961,0.918,0.036,0.023,0.932,0.031,0.612,0.26,0.18,0.104,0.14,0.129,346.144,34.994,0,12
LQHPT,3,fc.LQHPT_rm.3,0.961,0.918,0.036,0.023,0.932,0.031,0.612,0.26,0.18,0.104,0.14,0.129,346.144,34.994,0,12
L,4,fc.L_rm.4,0.9,0.783,0.065,0.034,0.894,0.065,0.661,0.153,0.09,0.124,0.04,0.089,338.818,27.668,0,5
LQ,4,fc.LQ_rm.4,0.901,0.823,0.057,0.039,0.89,0.061,0.714,0.185,0.09,0.124,0.09,0.124,354.669,43.519,0,9
H,4,fc.H_rm.4,0.955,0.851,0.04,0.022,0.921,0.038,0.512,0.33,0.14,0.129,0.14,0.129,337.364,26.214,0,10
LQH,4,fc.LQH_rm.4,0.955,0.893,0.038,0.024,0.927,0.037,0.599,0.33,0.14,0.129,0.14,0.129,333.916,22.766,0,10
LQHP,4,fc.LQHP_rm.4,0.958,0.823,0.037,0.021,0.928,0.033,0.654,0.176,0.14,0.129,0.14,0.129,327.943,16.793,0,9
LQHPT,4,fc.LQHPT_rm.4,0.958,0.823,0.037,0.021,0.928,0.033,0.654,0.176,0.14,0.129,0.14,0.129,327.943,16.793,0,9
L,5,fc.L_rm.5,0.898,0.716,0.067,0.028,0.896,0.065,0.722,0.143,0.09,0.124,0.04,0.089,342.611,31.461,0,5
LQ,5,fc.LQ_rm.5,0.899,0.804,0.061,0.034,0.891,0.062,0.653,0.192,0.09,0.124,0.04,0.089,357.763,46.613,0,9
H,5,fc.H_rm.5,0.95,0.859,0.042,0.033,0.91,0.049,0.695,0.055,0.09,0.124,0.09,0.124,339.369,28.22,0,9
LQH,5,fc.LQH_rm.5,0.949,0.885,0.038,0.029,0.922,0.043,0.655,0.189,0.14,0.129,0.09,0.124,350.213,39.063,0,11
LQHP,5,fc.LQHP_rm.5,0.955,0.661,0.038,0.026,0.924,0.04,0.712,0.111,0.14,0.129,0.14,0.129,351.833,40.683,0,11
LQHPT,5,fc.LQHPT_rm.5,0.955,0.661,0.038,0.026,0.924,0.04,0.712,0.111,0.14,0.129,0.14,0.129,351.833,40.683,0,11
