fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.703,0.672,0.109,0.067,0.602,0.061,0.077,0.127,0.222,0.099,0.103,0.12,1166.955,81.698,0,14
LQ,1,fc.LQ_rm.1,0.852,0.968,0.054,0.039,0.802,0.033,0.688,0.146,0.12,0.069,0.015,0.034,1089.585,4.328,0.07,16
H,1,fc.H_rm.1,0.877,0.945,0.059,0.034,0.828,0.036,0.657,0.126,0.12,0.117,0.031,0.069,1200.744,115.487,0,38
LQH,1,fc.LQH_rm.1,0.876,0.972,0.062,0.04,0.823,0.04,0.706,0.106,0.149,0.109,0.046,0.069,1159.582,74.325,0,34
LQHP,1,fc.LQHP_rm.1,0.88,0.968,0.075,0.052,0.813,0.054,0.662,0.115,0.178,0.152,0.031,0.069,1195.92,110.664,0,38
LQHPT,1,fc.LQHPT_rm.1,0.88,0.972,0.075,0.053,0.811,0.053,0.629,0.18,0.178,0.152,0.031,0.069,1207.534,122.278,0,39
L,2,fc.L_rm.2,0.696,0.785,0.108,0.066,0.599,0.061,0.037,0.136,0.252,0.108,0.118,0.148,1160.429,75.172,0,11
LQ,2,fc.LQ_rm.2,0.851,0.973,0.056,0.041,0.797,0.037,0.681,0.181,0.148,0.102,0.015,0.034,1085.257,0,0.606,13
H,2,fc.H_rm.2,0.865,0.932,0.047,0.032,0.829,0.035,0.71,0.133,0.121,0.116,0.015,0.034,1098.747,13.49,0.001,21
LQH,2,fc.LQH_rm.2,0.864,0.962,0.054,0.043,0.818,0.042,0.588,0.262,0.105,0.128,0.031,0.069,1119.389,34.132,0,26
LQHP,2,fc.LQHP_rm.2,0.868,0.969,0.057,0.046,0.817,0.044,0.624,0.312,0.149,0.138,0.015,0.034,1102.306,17.049,0,23
LQHPT,2,fc.LQHPT_rm.2,0.868,0.969,0.058,0.045,0.817,0.044,0.648,0.281,0.165,0.132,0.015,0.034,1107.203,21.946,0,24
L,3,fc.L_rm.3,0.695,0.808,0.106,0.069,0.598,0.063,0.065,0.151,0.252,0.108,0.118,0.148,1158.825,73.568,0,10
LQ,3,fc.LQ_rm.3,0.85,0.979,0.061,0.045,0.789,0.041,0.698,0.114,0.163,0.128,0.046,0.103,1088.011,2.754,0.153,12
H,3,fc.H_rm.3,0.857,0.904,0.039,0.032,0.826,0.033,0.565,0.533,0.121,0.116,0.015,0.034,1100.629,15.372,0,18
LQH,3,fc.LQH_rm.3,0.857,0.943,0.051,0.045,0.816,0.044,0.624,0.335,0.121,0.116,0.031,0.069,1095.494,10.238,0.004,19
LQHP,3,fc.LQHP_rm.3,0.863,0.979,0.049,0.042,0.815,0.035,0.608,0.251,0.135,0.124,0.031,0.042,1090.759,5.502,0.039,18
LQHPT,3,fc.LQHPT_rm.3,0.863,0.979,0.049,0.042,0.815,0.035,0.608,0.251,0.135,0.124,0.031,0.042,1090.759,5.502,0.039,18
L,4,fc.L_rm.4,0.693,0.837,0.106,0.07,0.594,0.063,0.113,0.152,0.252,0.108,0.118,0.148,1160.361,75.105,0,10
LQ,4,fc.LQ_rm.4,0.849,0.955,0.068,0.05,0.776,0.046,0.706,0.127,0.192,0.147,0.031,0.069,1095.325,10.068,0.004,12
H,4,fc.H_rm.4,0.852,0.94,0.037,0.03,0.819,0.03,0.547,0.586,0.135,0.124,0.031,0.042,1105.863,20.606,0,16
LQH,4,fc.LQH_rm.4,0.852,0.935,0.048,0.046,0.815,0.045,0.665,0.287,0.121,0.116,0.031,0.069,1091.388,6.132,0.028,16
LQHP,4,fc.LQHP_rm.4,0.858,0.981,0.045,0.04,0.81,0.033,0.64,0.253,0.135,0.124,0.031,0.042,1100.141,14.884,0,18
LQHPT,4,fc.LQHPT_rm.4,0.858,0.981,0.045,0.04,0.81,0.033,0.64,0.253,0.135,0.124,0.031,0.042,1100.141,14.884,0,18
L,5,fc.L_rm.5,0.692,0.905,0.11,0.07,0.587,0.065,0.143,0.153,0.252,0.108,0.118,0.148,1159.25,73.993,0,9
LQ,5,fc.LQ_rm.5,0.846,0.932,0.078,0.05,0.758,0.053,0.669,0.119,0.224,0.115,0.031,0.069,1103.92,18.663,0,12
H,5,fc.H_rm.5,0.847,0.911,0.041,0.032,0.81,0.035,0.599,0.382,0.105,0.086,0.031,0.042,1099.729,14.472,0,10
LQH,5,fc.LQH_rm.5,0.85,0.93,0.045,0.048,0.813,0.045,0.727,0.228,0.121,0.116,0.031,0.069,1090.316,5.059,0.048,14
LQHP,5,fc.LQHP_rm.5,0.851,0.947,0.041,0.037,0.805,0.031,0.689,0.169,0.121,0.116,0.046,0.069,1095.214,9.958,0.004,14
LQHPT,5,fc.LQHPT_rm.5,0.851,0.947,0.041,0.037,0.805,0.031,0.689,0.169,0.121,0.116,0.046,0.069,1095.214,9.958,0.004,14
