Country,Scientific.Name,eventdate,year,month,day,Longitude,Latitude
NC,Isopora crateriformis,2007-03-18,2007,3,18,166.443,-21.6233
NC,Isopora crateriformis,2007-11-01,2007,11,1,165.23703,-21.55022
NC,Isopora crateriformis,2002-11-27,2002,11,27,164.473,-20.2166
NC,Isopora crateriformis,2014-02-21,2014,2,21,166.397,-20.7244
NC,Isopora crateriformis,2007-03-17,2007,3,17,166.445,-21.6235
AS,Isopora crateriformis,2008-02-24,2008,2,24,-170.750244,-14.36024
AS,Isopora crateriformis,2008-02-24,2008,2,24,-170.788818,-14.34288
AS,Isopora crateriformis,2008-02-28,2008,2,28,-169.676025,-14.1846
AS,Isopora crateriformis,2008-02-25,2008,2,25,-170.704513,-14.33595
AS,Isopora crateriformis,2008-02-29,2008,2,29,-169.607696,-14.1864
AS,Isopora crateriformis,2010-03-19,2010,3,19,-169.655685,-14.16463
AS,Isopora crateriformis,2010-03-13,2010,3,13,-169.446945,-14.25116
AS,Isopora crateriformis,2010-02-25,2010,2,25,-170.561508,-14.26753
AS,Isopora crateriformis,2010-02-25,2010,2,25,-170.564056,-14.28551
PG,Isopora crateriformis,2000-06-01,2000,6,1,150.87305,-9.225533
BN,Isopora crateriformis,2008-10-20,2008,10,20,114.731533,5.020258
AS,Isopora crateriformis,1999-01-17,1999,1,17,-169.65,-14.183333
ID,Isopora crateriformis,2006-05-05,2006,5,5,132.778333,-3.311667
ID,Isopora crateriformis,2006-02-15,2006,2,15,135.67,-2.95
AU,Isopora crateriformis,2007-04-20,2007,4,20,153.548333,-27.39
NC,Acropora globiceps,2008-07-20,2008,7,20,158.382,-19.9194
NC,Acropora globiceps,1987-03-04,1987,3,4,166.585,-22.62333
NC,Acropora globiceps,2009-03-26,2009,3,26,163.973,-19.6419
NC,Acropora globiceps,2008-07-10,2008,7,10,158.382,-19.9201
PF,Acropora globiceps,2012-10-22,2012,10,22,-149.84602,-17.47614
AU,Acropora globiceps,2007-01-11,2007,1,11,159.068333,-31.51
PF,Acropora globiceps,2003-11-16,2003,11,16,-149.666667,-17.583333
PF,Acropora globiceps,1999-03-28,1999,3,28,-149.833333,-17.583333
PF,Acropora globiceps,1989-01-06,1989,1,6,-151.75,-16.5
AU,Acropora globiceps,1991-12-05,1991,12,5,151.416667,-17.65
CK,Acropora globiceps,1984-11-15,1984,11,15,-157.25,-20.166667
