Longitude,Latitude,Year,Scientific.Name,Source
-170.55645823,-14.27657215,2004,Genus Tridacna,RAMP/NCRMP
-170.5557059,-14.29384116,2012,Genus Tridacna,RAMP/NCRMP
-170.5550947,-14.27564114,2012,Genus Tridacna,RAMP/NCRMP
-170.55509178,-14.27619589,2004,Genus Tridacna,RAMP/NCRMP
-170.55287328,-14.27488717,2008,Genus Tridacna,RAMP/NCRMP
-170.55240692,-14.29302384,2008,Genus Tridacna,RAMP/NCRMP
-170.55197101,-14.29159456,2012,Genus Tridacna,RAMP/NCRMP
-170.54987913,-14.27580544,2004,Genus Tridacna,RAMP/NCRMP
-170.54980344,-14.29168344,2004,Genus Tridacna,RAMP/NCRMP
-170.54922915,-14.27514924,2010,Genus Tridacna,RAMP/NCRMP
-170.54797177,-14.2761036,2012,Genus Tridacna,RAMP/NCRMP
-170.54777311,-14.2895967,2008,Genus Tridacna,RAMP/NCRMP
-170.54752843,-14.27606185,2010,Genus Tridacna,RAMP/NCRMP
-170.54747142,-14.27716172,2004,Genus Tridacna,RAMP/NCRMP
-170.54664893,-14.27617579,2008,Genus Tridacna,RAMP/NCRMP
-170.54527606,-14.27775788,2008,Genus Tridacna,RAMP/NCRMP
-170.54521822,-14.28001034,2010,Genus Tridacna,RAMP/NCRMP
-170.54505402,-14.2776052,2004,Genus Tridacna,RAMP/NCRMP
-170.54494,-14.28315458,2004,Genus Tridacna,RAMP/NCRMP
-170.54485062,-14.28545977,2010,Genus Tridacna,RAMP/NCRMP
-170.544723,-14.28340668,2008,Genus Tridacna,RAMP/NCRMP
-170.54308229,-14.27793229,2004,Genus Tridacna,RAMP/NCRMP
